,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,gameId,ban1,ban2,ban3,ban4,ban5
0,100,Win,True,True,True,True,False,True,10,2,1,3,0,1,0,"[{'championId': 7, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 120, 'pickTurn': 5}]",4459880410,7,350,-1,81,120
1,200,Fail,False,False,False,False,True,False,1,0,0,1,0,1,0,"[{'championId': 429, 'pickTurn': 6}, {'championId': 43, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 875, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4459880410,429,43,142,875,76
0,100,Win,False,True,True,False,True,True,8,2,0,4,0,1,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 120, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4459730398,134,81,76,120,104
1,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 429, 'pickTurn': 6}, {'championId': 60, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 875, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",4459730398,429,60,76,875,122
0,100,Fail,True,False,False,False,False,False,2,0,0,0,0,0,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': 80, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 875, 'pickTurn': 5}]",4459644962,134,350,80,76,875
1,200,Win,False,True,True,True,True,True,9,1,1,3,0,2,0,"[{'championId': 421, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 555, 'pickTurn': 8}, {'championId': 875, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4459644962,421,76,555,875,58
0,100,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 523, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 421, 'pickTurn': 3}, {'championId': 80, 'pickTurn': 4}, {'championId': 412, 'pickTurn': 5}]",4462470981,523,81,421,80,412
1,200,Win,True,True,True,False,True,True,8,1,0,3,0,2,0,"[{'championId': 350, 'pickTurn': 6}, {'championId': 69, 'pickTurn': 7}, {'championId': 78, 'pickTurn': 8}, {'championId': 112, 'pickTurn': 9}, {'championId': 412, 'pickTurn': 10}]",4462470981,350,69,78,112,412
0,100,Win,False,True,True,False,True,True,7,1,0,2,0,2,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 4, 'pickTurn': 2}, {'championId': 43, 'pickTurn': 3}, {'championId': 421, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4462366201,350,4,43,421,81
1,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 245, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4462366201,81,875,350,245,58
0,100,Win,True,False,True,True,True,False,7,1,1,2,0,0,0,"[{'championId': 110, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 60, 'pickTurn': 5}]",4462278197,110,350,104,76,60
1,200,Fail,False,True,False,False,False,True,6,0,0,2,0,2,0,"[{'championId': 245, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 429, 'pickTurn': 8}, {'championId': 105, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4462278197,245,110,429,105,-1
0,100,Win,False,False,True,False,False,False,7,2,0,3,0,0,0,"[{'championId': 875, 'pickTurn': 1}, {'championId': 110, 'pickTurn': 2}, {'championId': 64, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 24, 'pickTurn': 5}]",4462201166,875,110,64,350,24
1,200,Fail,True,True,False,True,True,True,3,0,1,2,0,2,0,"[{'championId': 58, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 114, 'pickTurn': 8}, {'championId': 432, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4462201166,58,110,114,432,104
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': 245, 'pickTurn': 2}, {'championId': 7, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4462133809,62,245,7,-1,350
1,200,Win,True,True,False,False,True,True,6,0,0,2,0,1,0,"[{'championId': 142, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 7, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4462133809,142,350,7,81,80
0,100,Win,False,False,True,True,False,False,8,1,1,1,0,0,0,"[{'championId': 523, 'pickTurn': 1}, {'championId': 110, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 134, 'pickTurn': 4}, {'championId': 126, 'pickTurn': 5}]",4461861754,523,110,104,134,126
1,200,Fail,True,True,False,False,True,True,4,0,0,3,0,2,0,"[{'championId': 110, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 58, 'pickTurn': 8}, {'championId': 429, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4461861754,110,81,58,429,104
0,100,Win,False,False,False,False,True,True,3,0,0,3,0,1,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 126, 'pickTurn': 2}, {'championId': 110, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4461504054,80,126,110,76,350
1,200,Fail,True,True,False,False,False,False,3,0,0,0,0,0,0,"[{'championId': 114, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 421, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4461504054,114,110,421,350,-1
0,100,Win,False,True,True,True,False,True,9,3,1,1,0,2,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",4461334774,134,-1,62,350,-1
1,200,Fail,True,False,False,False,True,False,1,0,0,2,0,0,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 523, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4461334774,-1,523,76,110,80
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 60, 'pickTurn': 4}, {'championId': 7, 'pickTurn': 5}]",4460551909,134,81,350,60,7
1,200,Win,True,True,False,False,True,True,1,0,0,1,0,2,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 523, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 429, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4460551909,76,523,350,429,81
0,100,Win,True,False,False,True,False,False,7,1,1,1,0,0,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4460465676,76,350,62,-1,81
1,200,Fail,False,True,True,False,True,True,6,1,0,3,0,2,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 134, 'pickTurn': 7}, {'championId': 7, 'pickTurn': 8}, {'championId': 106, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4460465676,62,134,7,106,350
0,100,Win,False,True,True,False,False,True,7,1,0,1,0,2,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 126, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4459936732,142,104,126,81,76
1,200,Fail,True,False,False,True,True,False,3,0,1,3,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 134, 'pickTurn': 7}, {'championId': 105, 'pickTurn': 8}, {'championId': 429, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4459936732,81,134,105,429,58
0,100,Win,True,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 81, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 110, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 142, 'pickTurn': 5}]",4459718934,81,76,110,62,142
1,200,Fail,False,True,False,False,False,True,6,1,0,2,0,1,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4459718934,104,110,-1,523,58
0,100,Fail,False,True,False,False,False,True,3,0,0,1,0,2,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 429, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 523, 'pickTurn': 4}, {'championId': 134, 'pickTurn': 5}]",4459712134,142,429,76,523,134
1,200,Win,True,False,True,True,True,False,7,1,1,2,0,0,0,"[{'championId': 350, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 429, 'pickTurn': 8}, {'championId': 33, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4459712134,350,110,429,33,58
0,100,Win,False,True,True,True,False,True,8,1,1,1,0,2,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 432, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 4, 'pickTurn': 5}]",4462383086,134,76,432,110,4
1,200,Fail,True,False,False,False,True,False,0,0,0,2,0,0,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 523, 'pickTurn': 8}, {'championId': 4, 'pickTurn': 9}, {'championId': 555, 'pickTurn': 10}]",4462383086,62,875,523,4,555
0,100,Fail,False,True,True,True,True,True,8,1,2,4,0,2,0,"[{'championId': 110, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 875, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 517, 'pickTurn': 5}]",4462232179,110,523,875,81,517
1,200,Win,True,False,False,False,False,False,6,1,0,1,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 246, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': 142, 'pickTurn': 10}]",4462232179,81,246,62,104,142
0,100,Fail,False,False,False,False,False,True,3,0,0,0,0,2,0,"[{'championId': 74, 'pickTurn': 1}, {'championId': 89, 'pickTurn': 2}, {'championId': 555, 'pickTurn': 3}, {'championId': 80, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4462134647,74,89,555,80,76
1,200,Win,True,True,True,True,True,False,8,1,1,3,0,0,0,"[{'championId': 82, 'pickTurn': 6}, {'championId': 412, 'pickTurn': 7}, {'championId': 245, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 106, 'pickTurn': 10}]",4462134647,82,412,245,523,106
0,100,Win,True,True,True,False,True,True,7,1,0,1,0,1,0,"[{'championId': 245, 'pickTurn': 1}, {'championId': 110, 'pickTurn': 2}, {'championId': 67, 'pickTurn': 3}, {'championId': 134, 'pickTurn': 4}, {'championId': 875, 'pickTurn': 5}]",4462101236,245,110,67,134,875
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 58, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 122, 'pickTurn': 8}, {'championId': 432, 'pickTurn': 9}, {'championId': 4, 'pickTurn': 10}]",4462101236,58,81,122,432,4
0,100,Win,True,True,True,False,False,True,8,1,0,0,0,1,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 134, 'pickTurn': 5}]",4462083660,62,80,81,76,134
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 64, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 134, 'pickTurn': 10}]",4462083660,64,110,-1,81,134
0,100,Win,True,True,True,False,False,True,8,1,0,2,0,2,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 134, 'pickTurn': 2}, {'championId': 110, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4460268540,350,134,110,245,81
1,200,Fail,False,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 60, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 56, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': 421, 'pickTurn': 10}]",4460268540,60,81,56,104,421
0,100,Fail,False,False,False,False,False,True,2,0,0,0,0,1,0,"[{'championId': -1, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 142, 'pickTurn': 3}, {'championId': 17, 'pickTurn': 4}, {'championId': 412, 'pickTurn': 5}]",4458996658,-1,80,142,17,412
1,200,Win,True,True,True,True,True,False,8,2,1,3,0,1,0,"[{'championId': 122, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 60, 'pickTurn': 10}]",4458996658,122,76,-1,-1,60
0,100,Fail,True,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 43, 'pickTurn': 1}, {'championId': 58, 'pickTurn': 2}, {'championId': 24, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4458677185,43,58,24,110,76
1,200,Win,False,True,True,True,False,True,10,2,1,4,0,2,0,"[{'championId': 245, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 68, 'pickTurn': 8}, {'championId': 235, 'pickTurn': 9}, {'championId': 62, 'pickTurn': 10}]",4458677185,245,81,68,235,62
0,100,Fail,False,True,False,False,True,True,4,0,0,3,0,2,0,"[{'championId': 81, 'pickTurn': 1}, {'championId': 43, 'pickTurn': 2}, {'championId': 245, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 58, 'pickTurn': 5}]",4462300773,81,43,245,62,58
1,200,Win,True,False,True,True,False,False,6,1,1,0,0,0,0,"[{'championId': 875, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 110, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4462300773,875,76,110,-1,58
0,100,Win,False,True,False,False,True,True,5,0,0,2,0,1,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': 246, 'pickTurn': 2}, {'championId': 523, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4462233212,62,246,523,245,104
1,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 62, 'pickTurn': 7}, {'championId': 429, 'pickTurn': 8}, {'championId': 875, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",4462233212,81,62,429,875,122
0,100,Win,True,True,True,False,True,True,9,2,0,1,0,1,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': 245, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 122, 'pickTurn': 4}, {'championId': 64, 'pickTurn': 5}]",4461787547,104,245,350,122,64
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 58, 'pickTurn': 7}, {'championId': 246, 'pickTurn': 8}, {'championId': 134, 'pickTurn': 9}, {'championId': 110, 'pickTurn': 10}]",4461787547,81,58,246,134,110
0,100,Win,False,False,True,False,True,False,6,3,1,4,0,1,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 39, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4461325454,80,39,76,62,350
1,200,Fail,True,True,False,True,False,True,10,2,2,1,0,1,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 134, 'pickTurn': 7}, {'championId': 429, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4461325454,62,134,429,-1,81
0,100,Win,True,True,False,False,True,True,5,0,0,3,0,2,0,"[{'championId': 126, 'pickTurn': 1}, {'championId': 429, 'pickTurn': 2}, {'championId': 875, 'pickTurn': 3}, {'championId': 142, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4461228296,126,429,875,142,104
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 429, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4461228296,-1,350,142,429,76
0,100,Fail,True,True,False,True,True,True,5,0,2,1,0,2,0,"[{'championId': -1, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 421, 'pickTurn': 3}, {'championId': 58, 'pickTurn': 4}, {'championId': 235, 'pickTurn': 5}]",4459312867,-1,80,421,58,235
1,200,Win,False,False,True,False,False,False,6,1,0,5,0,0,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 30, 'pickTurn': 8}, {'championId': 236, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4459312867,-1,429,30,236,76
0,100,Fail,True,False,False,False,False,False,5,0,0,0,0,0,0,"[{'championId': 429, 'pickTurn': 1}, {'championId': 245, 'pickTurn': 2}, {'championId': 246, 'pickTurn': 3}, {'championId': 236, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",4458917115,429,245,246,236,-1
1,200,Win,False,True,True,True,True,True,9,1,1,4,0,2,0,"[{'championId': 429, 'pickTurn': 6}, {'championId': 245, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 91, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4458917115,429,245,-1,91,104
0,100,Fail,False,False,True,True,True,False,9,2,1,4,0,0,0,"[{'championId': 58, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 429, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4458026202,58,-1,429,104,110
1,200,Win,True,True,False,False,False,True,8,1,1,3,0,2,0,"[{'championId': 80, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 412, 'pickTurn': 8}, {'championId': 58, 'pickTurn': 9}, {'championId': 110, 'pickTurn': 10}]",4458026202,80,76,412,58,110
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 24, 'pickTurn': 1}, {'championId': 134, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 429, 'pickTurn': 5}]",4457959848,24,134,-1,76,429
1,200,Win,True,True,True,False,True,True,7,1,0,3,0,2,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 80, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 24, 'pickTurn': 10}]",4457959848,104,110,80,523,24
0,100,Fail,True,False,False,False,True,False,3,0,0,3,0,1,0,"[{'championId': 133, 'pickTurn': 1}, {'championId': 43, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 80, 'pickTurn': 4}, {'championId': 142, 'pickTurn': 5}]",4457837860,133,43,350,80,142
1,200,Win,False,True,True,True,False,True,5,1,1,2,0,1,0,"[{'championId': 110, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 58, 'pickTurn': 8}, {'championId': 246, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4457837860,110,429,58,246,-1
0,100,Win,False,True,False,False,True,True,3,0,0,3,0,2,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 62, 'pickTurn': 5}]",4459749441,76,350,-1,81,62
1,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 133, 'pickTurn': 6}, {'championId': 78, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 429, 'pickTurn': 9}, {'championId': 523, 'pickTurn': 10}]",4459749441,133,78,76,429,523
0,100,Win,True,True,True,True,False,True,10,2,1,1,0,2,0,"[{'championId': 39, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 523, 'pickTurn': 5}]",4459782149,39,81,76,350,523
1,200,Fail,False,False,False,False,True,False,2,0,0,2,0,0,0,"[{'championId': 39, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 432, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4459782149,39,429,76,432,80
0,100,Win,True,False,True,True,True,False,7,1,1,3,0,1,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 517, 'pickTurn': 5}]",4459682881,80,76,81,350,517
1,200,Fail,False,True,False,False,False,True,2,0,0,0,0,1,0,"[{'championId': 245, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 126, 'pickTurn': 8}, {'championId': 80, 'pickTurn': 9}, {'championId': 523, 'pickTurn': 10}]",4459682881,245,81,126,80,523
0,100,Win,True,False,False,False,True,True,3,0,0,3,0,2,0,"[{'championId': 105, 'pickTurn': 1}, {'championId': 126, 'pickTurn': 2}, {'championId': 7, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 80, 'pickTurn': 5}]",4459554405,105,126,7,110,80
1,200,Fail,False,True,False,False,False,False,2,0,0,0,0,0,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': 60, 'pickTurn': 7}, {'championId': 104, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4459554405,134,60,104,523,80
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 133, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 235, 'pickTurn': 3}, {'championId': 30, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4459510499,133,80,235,30,81
1,200,Win,True,True,True,False,True,True,7,1,0,1,0,1,0,"[{'championId': 78, 'pickTurn': 6}, {'championId': 432, 'pickTurn': 7}, {'championId': 523, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 126, 'pickTurn': 10}]",4459510499,78,432,523,-1,126
0,100,Win,True,True,True,False,False,True,8,1,1,2,0,1,0,"[{'championId': 429, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 20, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 5}]",4462060306,429,523,62,20,245
1,200,Fail,False,False,False,True,True,False,6,0,1,3,0,1,0,"[{'championId': 119, 'pickTurn': 6}, {'championId': 432, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4462060306,119,432,350,110,104
